id	Cluster	Type	From	To	Most similar known cluster	MIBiG BGC-ID	Similarity
AC512_CC834	Region 49.1	terpene	"16,971"	"43,804"	hopene	Terpene	100
AC512_CC834	Region 52.1	terpene	"67,500"	"89,698"	geosmin	Terpene	100
AC512_CC834	Region 57.1	terpene	"60,357"	"81,442"	albaflavenone	Terpene	100
AC512_CC834	Region 57.2	T2PKS	"141,864"	"179,982"	spore pigment	Polyketide	50
AC512_CC834	Region 60.1	T2PKS	"15,923"	"86,792"	tetarimycin A / tetarimycin B	Polyketide:Type II	8
AC512_CC834	Region 60.2	NRPS	"229,996"	"280,981"	coelichelin	NRP	100
AC512_CC834	Region 60.3	NRPS-like	"337,111"	"379,618"	stenothricin	NRP:Cyclic depsipeptide	13
AC512_CC834	Region 60.4	bacteriocin	"557,157"	"567,372"	informatipeptin	RiPP:Lanthipeptide	28
AC512_CC834	Region 60.5	terpene	"581,289"	"602,320"	versipelostatin	Polyketide	5
AC512_CC834	Region 78.1	T3PKS	"71,725"	"111,232"	alkylresorcinol	Polyketide	100
AC512_CC834	Region 78.2	indole	"318,219"	"339,346"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	23
AC512_CC834	Region 78.3	NRPS	"413,991"	"460,417"	paenibactin	NRP	83
AC512_CC834	Region 78.4	T3PKS	"547,776"	"587,322"	germicidin	Other	100
AC512_CC834	Region 78.5	T3PKS	"823,578"	"864,690"	herboxidiene	Polyketide	8
AC512_CC834	Region 79.1	melanin	"44,405"	"55,058"	melanin	Other	60
AC512_CC834	Region 88.1	T1PKS	1	"49,751"	auroramycin	Polyketide	17
AC512_CC834	Region 92.1	T1PKS	1	"23,748"	auroramycin	Polyketide	13
AC512_CC834	Region 94.1	bacteriocin	1	"9,825"			
AC512_CC834	Region 94.2	"PKS-like,T1PKS"	"125,519"	"173,605"	arsono-polyketide	Polyketide	100
AC536_RSS858	Region 6.1	NRPS-like	1	"29,366"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	76
AC536_RSS858	Region 8.1	"T3PKS,NRPS-like"	"38,542"	"103,659"	napyradiomycin A80915C	Terpene + Polyketide:Type III	9
AC536_RSS858	Region 18.1	terpene	"115,749"	"137,989"	geosmin	Terpene	100
AC536_RSS858	Region 20.1	siderophore	"6,735"	"20,616"			
AC536_RSS858	Region 25.1	other	1	"19,080"	sporolide A / sporolide B	NRP + Polyketide:Enediyne type I	4
AC536_RSS858	Region 32.1	bacteriocin	"26,055"	"36,930"			
AC536_RSS858	Region 36.1	butyrolactone	"100,581"	"111,372"			
AC536_RSS858	Region 39.1	NRPS	"96,835"	"140,185"	stenothricin	NRP:Cyclic depsipeptide	13
AC536_RSS858	Region 51.1	NRPS	"2,914"	"94,151"	atratumycin	NRP	10
AC536_RSS858	Region 58.1	CDPS	1	"16,979"			
AC536_RSS858	Region 59.1	terpene	199	"21,281"	naphthomycin A	Polyketide	6
AC536_RSS858	Region 61.1	terpene	"47,747"	"74,441"	hopene	Terpene	61
AC536_RSS858	Region 81.1	ladderane	1	"22,731"			
AC536_RSS858	Region 85.1	siderophore	"45,498"	"60,723"	ficellomycin	NRP	3
AC536_RSS858	Region 86.1	terpene	"46,189"	"67,253"			
AC536_RSS858	Region 103.1	NRPS	"10,244"	"51,701"	atratumycin	NRP	7
AC536_RSS858	Region 104.1	bacteriocin	1	"7,497"			
AC536_RSS858	Region 107.1	arylpolyene	1	"22,192"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	6
AC536_RSS858	Region 126.1	NRPS	"65,163"	"112,196"	streptobactin	NRP	41
AC536_RSS858	Region 131.1	terpene	"12,088"	"33,287"	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	Terpene + Polyketide:Type III	7
AC536_RSS858	Region 142.1	"T1PKS,NRPS"	"2,637"	"133,310"	niphimycins C-E	Polyketide	41
AC536_RSS858	Region 148.1	NRPS	"75,341"	"121,992"	diisonitrile antibiotic SF2768	NRP	66
AC536_RSS858	Region 164.1	T1PKS	1	"158,984"	nigericin	Polyketide:Modular type I	94
AC536_RSS858	Region 164.2	"terpene,T1PKS,NRPS"	"292,759"	"397,796"	isorenieratene	Terpene	85
AC536_RSS858	Region 167.1	T1PKS	1	"4,772"			
AC536_RSS858	Region 172.1	"terpene,CDPS"	"17,524"	"39,157"			
AC536_RSS858	Region 174.1	T1PKS	1	"45,348"	piericidin A1	Polyketide	91
AC536_RSS858	Region 174.2	"T1PKS,transAT-PKS,PKS-like"	"57,483"	"154,583"	thailandamide / thailandamide lactone	NRP + Polyketide:Modular type I	31
AC536_RSS858	Region 177.1	T1PKS	1	"85,487"	griseochelin	Polyketide	84
AC536_RSS858	Region 181.1	ectoine	"2,068"	"12,472"	ectoine	Other	100
AC536_RSS858	Region 182.1	T1PKS	1	"15,670"	ECO-02301	Polyketide	32
AC536_RSS858	Region 189.1	"T1PKS,NRPS"	1	"46,616"	paulomycin	Other	7
AC536_RSS858	Region 189.2	CDPS	"123,434"	"142,094"	naseseazine C / C3-aryl pyrroloindolines	Other	66
AC536_RSS858	Region 191.1	NRPS	1	"31,120"			
AC536_RSS858	Region 192.1	T1PKS	"18,996"	"54,705"	piericidin A1	Polyketide:Modular type I	41
AC569_RSS891	Region 11.1	"NRPS,T1PKS"	"105,059"	"159,952"	enduracidin	NRP	6
AC569_RSS891	Region 20.1	terpene	"33,904"	"54,911"			
AC569_RSS891	Region 23.1	melanin	"1,881"	"12,372"	melanin	Other	100
AC569_RSS891	Region 32.1	"T3PKS,NRPS"	"12,494"	"76,491"	alkylresorcinol	Polyketide	100
AC569_RSS891	Region 35.1	bacteriocin	1	"3,678"			
AC569_RSS891	Region 48.1	NRPS	1	"60,461"	tetronasin	Polyketide	11
AC569_RSS891	Region 49.1	"NRPS,T1PKS"	1	"64,510"	BD-12	NRP	17
AC569_RSS891	Region 50.1	NRPS	2	"36,961"	azicemicin B	Polyketide	4
AC569_RSS891	Region 51.1	terpene	"3,730"	"25,040"	formicamycins A-M	Polyketide	16
AC569_RSS891	Region 57.1	butyrolactone	"34,651"	"45,577"	coelimycin P1	Polyketide:Modular type I	8
AC569_RSS891	Region 61.1	NRPS	1	"4,371"			
AC569_RSS891	Region 62.1	NRPS	1	"3,700"			
AC569_RSS891	Region 63.1	terpene	1	"19,620"	geosmin	Terpene	100
AC569_RSS891	Region 63.2	NRPS	"84,227"	"134,548"	streptobactin	NRP	94
AC569_RSS891	Region 64.1	siderophore	1	"11,747"	ficellomycin	NRP	3
AC569_RSS891	Region 65.1	terpene	"69,966"	"91,039"	steffimycin D	Polyketide:Type II + Saccharide:Hybrid/tailoring	19
AC569_RSS891	Region 66.1	lassopeptide	"12,589"	"35,185"			
AC569_RSS891	Region 71.1	terpene	"320,518"	"347,088"	hopene	Terpene	69
AC569_RSS891	Region 72.1	melanin	"3,592"	"14,014"	melanin	Other	100
AC569_RSS891	Region 79.1	T3PKS	"21,596"	"62,714"	herboxidiene	Polyketide	6
AC569_RSS891	Region 87.1	lanthipeptide	1	"13,236"			
AC569_RSS891	Region 87.2	siderophore	"85,043"	"96,821"	desferrioxamin B	Other	80
AC569_RSS891	Region 89.1	ectoine	"79,918"	"90,316"	ectoine	Other	100
AC569_RSS891	Region 95.1	NRPS	1	"2,123"			
AC569_RSS891	Region 96.1	NRPS	1	"2,120"			
AC569_RSS891	Region 97.1	NRPS	1	"3,088"			
AC569_RSS891	Region 102.1	"NRPS,T1PKS"	"28,033"	"77,503"	SGR PTMs	NRP + Polyketide	100
AC569_RSS891	Region 107.1	"NRPS-like,transAT-PKS"	"18,883"	"82,527"	cycloheximide	Polyketide:Trans-AT type I	61
AC569_RSS891	Region 110.1	T3PKS	"19,250"	"52,618"	rustmicin	Polyketide:Iterative type I	10
AC569_RSS891	Region 124.1	lanthipeptide	1	"17,232"	AmfS	RiPP:Lanthipeptide	100
AC569_RSS891	Region 128.1	"T1PKS,NRPS"	"48,527"	"101,540"	kanamycin	Saccharide	2
AC569_RSS891	Region 129.1	"thiopeptide,LAP"	"14,750"	"43,653"	frigocyclinone	Polyketide	17
AC569_RSS891	Region 130.1	"NRPS,ladderane,arylpolyene,NRPS-like"	"27,131"	"116,917"	RP-1776	Polyketide + NRP:Cyclic depsipeptide	40
AC569_RSS891	Region 131.1	NRPS	1	"37,775"	valinomycin / montanastatin	NRP + Saccharide:Hybrid/tailoring	8
AC569_RSS891	Region 133.1	NRPS	"70,606"	"98,096"	borrelidin	Polyketide:Modular type I	9
AC569_RSS891	Region 136.1	"T3PKS,nucleoside"	"15,852"	"42,397"			
AC569_RSS891	Region 138.1	bacteriocin	"62,806"	"73,603"	tetronasin	Polyketide	3
AC569_RSS891	Region 142.1	NRPS	1	"4,244"			
AC569_RSS891	Region 143.1	NRPS	"69,519"	"93,682"			
AC569_RSS891	Region 145.1	"NRPS-like,arylpolyene"	"65,029"	"107,952"			
AC569_RSS891	Region 149.1	NRPS-like	1	"7,593"	coelichelin	NRP	27
AC569_RSS891	Region 150.1	NRPS	1	"9,589"			
AC569_RSS891	Region 151.1	NRPS	1	"5,087"			
AC569_RSS891	Region 152.1	NRPS	1	"4,416"			
AC569_RSS891	Region 153.1	"T1PKS,terpene"	"26,770"	"92,324"	isorenieratene	Terpene	100
AC569_RSS891	Region 154.1	"NRPS,T1PKS"	"16,574"	"125,924"	BE-43547A1 / BE-43547A2 / BE-43547B1 / BE-43547B2 / BE-43547B3 / BE-43547C1 / BE-43547C2	NRP:Cyclic depsipeptide + Polyketide:Modular type I	20
AC569_RSS891	Region 155.1	NRPS	"102,901"	"148,017"	sceliphrolactam	Polyketide	8
AC569_RSS891	Region 160.1	melanin	"85,399"	"95,764"	grixazone	Terpene	61
AC569_RSS891	Region 160.2	lassopeptide	"167,810"	"190,517"			
AC569_RSS891	Region 161.1	"NRPS,T1PKS,butyrolactone"	1	"55,633"	RP-1776	Polyketide + NRP:Cyclic depsipeptide	32
AC569_RSS891	Region 161.2	ectoine	"55,635"	"65,607"	showdomycin	Other	41
AC628_RSS909	Region 10.1	terpene	"107,888"	"128,952"			
AC628_RSS909	Region 12.1	"terpene,CDPS"	"17,677"	"39,310"			
AC628_RSS909	Region 15.1	NRPS	1	"31,037"			
AC628_RSS909	Region 17.1	terpene	"50,172"	"71,371"	merochlorin A / merochlorin B / deschloro-merochlorin A / deschloro-merochlorin B / isochloro-merochlorin B / dichloro-merochlorin B / merochlorin D / merochlorin C	Terpene + Polyketide:Type III	7
AC628_RSS909	Region 23.1	NRPS	"115,365"	"162,013"	diisonitrile antibiotic SF2768	NRP	66
AC628_RSS909	Region 28.1	terpene	"44,266"	"58,521"	geosmin	Terpene	100
AC628_RSS909	Region 29.1	NRPS-like	"24,849"	"62,473"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	76
AC628_RSS909	Region 30.1	"T3PKS,NRPS-like"	"39,865"	"104,980"	napyradiomycin A80915C	Terpene + Polyketide:Type III	9
AC628_RSS909	Region 33.1	terpene	"54,418"	"81,112"	hopene	Terpene	61
AC628_RSS909	Region 35.1	siderophore	"45,353"	"60,578"	ficellomycin	NRP	3
AC628_RSS909	Region 37.1	siderophore	"71,671"	"85,552"			
AC628_RSS909	Region 52.1	NRPS	"48,177"	"91,512"	stenothricin	NRP:Cyclic depsipeptide	13
AC628_RSS909	Region 53.1	NRPS	"65,166"	"112,193"	streptobactin	NRP	41
AC628_RSS909	Region 57.1	ectoine	"170,841"	"181,245"	ectoine	Other	100
AC628_RSS909	Region 59.1	NRPS	"39,502"	"83,707"	pepticinnamin E	NRP + Polyketide	6
AC628_RSS909	Region 73.1	"other,CDPS"	1	"19,147"			
AC628_RSS909	Region 82.1	NRPS	"2,837"	"94,167"	atratumycin	NRP	7
AC628_RSS909	Region 87.1	"NRPS,T1PKS,terpene"	"48,626"	"151,891"	isorenieratene	Terpene	85
AC628_RSS909	Region 87.2	terpene	"187,381"	"208,181"	isorenieratene	Terpene	18
AC628_RSS909	Region 87.3	"T1PKS,NRPS"	"286,550"	"492,309"	nigericin	Polyketide:Modular type I	100
AC628_RSS909	Region 87.4	CDPS	"569,378"	"584,529"	naseseazine C / C3-aryl pyrroloindolines	Other	66
AC628_RSS909	Region 93.1	ladderane	"30,036"	"58,859"			
AC628_RSS909	Region 94.1	"T1PKS,NRPS"	1	"121,831"	funisamine	Polyketide	27
AC628_RSS909	Region 99.1	T1PKS	"27,001"	"50,314"	aculeximycin	Polyketide	26
AC628_RSS909	Region 105.1	T1PKS	1	"85,300"	griseochelin	Polyketide	84
AC628_RSS909	Region 118.1	bacteriocin	"19,911"	"26,642"			
AC628_RSS909	Region 122.1	bacteriocin	1	"3,424"			
AC628_RSS909	Region 132.1	terpene	"89,455"	"110,537"	xiamycin A	Terpene	13
AC628_RSS909	Region 133.1	butyrolactone	"100,622"	"111,619"			
AC628_RSS909	Region 136.1	"PKS-like,transAT-PKS,T1PKS"	"38,313"	"135,604"	thailandamide / thailandamide lactone	NRP + Polyketide:Modular type I	26
AC628_RSS909	Region 136.2	T1PKS	"147,086"	"230,579"	piericidin A1	Polyketide	100
AC628_RSS909	Region 136.3	NRPS	"243,101"	"290,357"			
AC628_RSS909	Region 137.1	T1PKS	1	"4,502"			
AC628_RSS909	Region 138.1	arylpolyene	"130,501"	"165,065"	kedarcidin	Polyketide:Iterative type I + Polyketide:Enediyne type I	6
AC469_CC789	Region 6.1	NRPS	1	"18,791"	tetronasin	Polyketide	5
AC469_CC789	Region 11.1	NRPS	1	"16,431"			
AC469_CC789	Region 38.1	bacteriocin	1	"6,302"			
AC469_CC789	Region 50.1	"PKS-like,LAP"	"2,954"	"23,963"	caboxamycin	Other	20
AC469_CC789	Region 57.1	terpene	1	"4,028"	isorenieratene	Terpene	25
AC469_CC789	Region 58.1	T1PKS	1	"20,932"	abyssomicin M / abyssomicin N / abyssomicin O / abyssomicin P / abyssomicin Q / abyssomicin R / abyssomicin S / abyssomicin T / abyssomicin U / abyssomicin V / abyssomicin W / abyssomicin X	Polyketide	25
AC469_CC789	Region 90.1	"T1PKS,NRPS"	1	"25,376"	lydicamycin	NRP + Polyketide:Modular type I	28
AC469_CC789	Region 103.1	bacteriocin	"9,806"	"20,678"			
AC469_CC789	Region 108.1	T1PKS	1	"14,978"	nocamycin	NRP + Polyketide	18
AC469_CC789	Region 142.1	NRPS	1	"46,061"			
AC469_CC789	Region 155.1	NRPS	1	"24,522"	coelibactin	NRP	36
AC469_CC789	Region 189.1	T1PKS	1	"8,133"	abyssomicin M / abyssomicin N / abyssomicin O / abyssomicin P / abyssomicin Q / abyssomicin R / abyssomicin S / abyssomicin T / abyssomicin U / abyssomicin V / abyssomicin W / abyssomicin X	Polyketide	18
AC469_CC789	Region 211.1	T1PKS	1	"9,015"			
AC469_CC789	Region 237.1	NRPS	1	"5,370"			
AC469_CC789	Region 256.1	NRPS	1	"16,570"	acarviostatin I03 / acarviostatin II03 / acarviostatin III03 / acarviostatin IV03	Saccharide	18
AC469_CC789	Region 262.1	NRPS	1	"21,290"	icosalide A / icosalide B	NRP:Lipopeptide	100
AC469_CC789	Region 264.1	lanthipeptide	1	"13,515"			
AC469_CC789	Region 314.1	NRPS	1	"19,738"			
AC469_CC789	Region 316.1	NRPS	1	"15,179"	ralsolamycin	NRP + Polyketide	60
AC469_CC789	Region 327.1	T1PKS	1	"4,811"			
AC469_CC789	Region 362.1	T1PKS	"2,826"	"32,961"	calicheamicin	Polyketide	2
AC469_CC789	Region 366.1	terpene	"1,945"	"22,940"			
AC469_CC789	Region 376.1	"NRPS-like,PKS-like"	1	"29,903"	herboxidiene	Polyketide	2
AC469_CC789	Region 394.1	siderophore	"7,053"	"15,699"			
AC469_CC789	Region 429.1	T3PKS	1	"6,436"	alkylresorcinol	Polyketide	100
AC469_CC789	Region 445.1	terpene	1	"11,414"	chlortetracycline	Polyketide	5
AC469_CC789	Region 448.1	T1PKS	1	"16,211"	maklamicin	Polyketide	17
AC469_CC789	Region 457.1	"oligosaccharide,T2PKS"	1	"40,712"	komodoquinone B	Polyketide:Type II + Saccharide:Hybrid/tailoring	51
AC469_CC789	Region 461.1	T1PKS	1	"3,753"			
AC469_CC789	Region 465.1	lanthipeptide	1	"19,959"			
AC469_CC789	Region 480.1	T1PKS	1	"23,165"	salinomycin	Polyketide:Modular type I	28
AC469_CC789	Region 497.1	lanthipeptide	"15,032"	"34,549"	SAL-2242	RiPP:Lanthipeptide	44
AC469_CC789	Region 498.1	T2PKS	1	"17,600"	formicamycins A-M	Polyketide	16
AC469_CC789	Region 530.1	terpene	1	"21,643"	geosmin	Terpene	100
AC469_CC789	Region 538.1	other	"16,309"	"43,748"	komodoquinone B	Polyketide:Type II + Saccharide:Hybrid/tailoring	17
AC469_CC789	Region 576.1	T1PKS	1	"5,500"			
AC469_CC789	Region 580.1	NRPS	1	"21,681"	coelibactin	NRP	36
AC469_CC789	Region 586.1	T1PKS	1	"1,487"			
AC469_CC789	Region 603.1	"PKS-like,T1PKS"	1	"10,320"	chlorothricin / deschlorothricin	Polyketide:Modular type I + Polyketide:Iterative type I + Saccharide:Oligosaccharide	18
AC469_CC789	Region 620.1	terpene	"1,510"	"22,394"	frankiamicin	Polyketide	21
AC469_CC789	Region 656.1	NRPS	1	"26,233"	albachelin	NRP	20
AC469_CC789	Region 663.1	"NRPS,T1PKS"	1	"18,928"	rakicidin A / rakicidin B	NRP:Cyclic depsipeptide + Polyketide:Modular type I	44
AC542_RSS864	Region 1.1	NRPS	1	"26,819"	cadaside A / cadaside B	NRP	9
AC542_RSS864	Region 1.2	siderophore	"186,659"	"198,431"	desferrioxamin B / desferrioxamine E	Other	83
AC542_RSS864	Region 1.3	melanin	"282,441"	"292,998"	melanin	Other	60
AC542_RSS864	Region 2.1	lanthipeptide	"165,636"	"188,206"			
AC542_RSS864	Region 3.1	siderophore	"116,947"	"130,089"	arsono-polyketide	Polyketide	20
AC542_RSS864	Region 4.1	T1PKS	1	"63,590"	67-121C	Polyketide	20
AC542_RSS864	Region 4.2	NRPS	"372,906"	"418,434"	paenibactin	NRP	83
AC542_RSS864	Region 4.3	NRPS	"447,530"	"498,521"	coelichelin	NRP	100
AC542_RSS864	Region 6.1	T3PKS	"190,725"	"231,816"	herboxidiene	Polyketide	8
AC542_RSS864	Region 6.2	NRPS	"406,795"	"437,010"	himastatin	NRP	20
AC542_RSS864	Region 9.1	bacteriocin	"216,268"	"226,483"	informatipeptin	RiPP:Lanthipeptide	42
AC542_RSS864	Region 9.2	terpene	"242,711"	"263,742"	versipelostatin	Polyketide	5
AC542_RSS864	Region 10.1	"terpene,hglE-KS,T1PKS,NRPS-like"	"60,425"	"153,056"	incednine	Polyketide	6
AC542_RSS864	Region 10.2	indole	"315,706"	"336,839"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	33
AC542_RSS864	Region 12.1	terpene	"78,967"	"99,986"	albaflavenone	Terpene	100
AC542_RSS864	Region 12.2	T2PKS	"149,282"	"221,830"	spore pigment	Polyketide	66
AC542_RSS864	Region 16.1	"other,PKS-like,NRPS,T1PKS"	"199,499"	"251,260"	quinocarcin	NRP	16
AC542_RSS864	Region 17.1	terpene	"53,956"	"74,840"			
AC542_RSS864	Region 19.1	siderophore	"116,942"	"129,062"			
AC542_RSS864	Region 21.1	lanthipeptide	"9,978"	"34,761"	planosporicin	RiPP:Lanthipeptide	100
AC542_RSS864	Region 24.1	NRPS-like	"116,287"	"160,297"			
AC542_RSS864	Region 33.1	"NRPS,T1PKS,NRPS-like"	"34,939"	"119,633"	antimycin	NRP + Polyketide	93
AC542_RSS864	Region 34.1	bacteriocin	"47,497"	"58,858"			
AC542_RSS864	Region 34.2	terpene	"77,363"	"99,543"	geosmin	Terpene	100
AC542_RSS864	Region 36.1	lassopeptide	1	"13,695"	citrulassin D	RiPP	100
AC542_RSS864	Region 36.2	ectoine	"43,949"	"54,347"	ectoine	Other	100
AC542_RSS864	Region 37.1	lanthipeptide	"23,732"	"50,263"			
AC542_RSS864	Region 39.1	terpene	"47,579"	"71,770"	carotenoid	Terpene	54
AC542_RSS864	Region 55.1	terpene	"14,964"	"41,809"	hopene	Terpene	100
AC542_RSS864	Region 58.1	other	"11,714"	"52,130"	nenestatin	Polyketide	41
AC542_RSS864	Region 59.1	NRPS	"33,556"	"58,903"	lipopeptide 8D1-1 / lipopeptide 8D1-2	NRP	4
AC542_RSS864	Region 71.1	T1PKS	1	"36,984"	ECO-02301	Polyketide	32
AC542_RSS864	Region 89.1	NRPS	1	"15,316"	validamycin A	Polyketide + Other:Cyclitol	7
AC542_RSS864	Region 90.1	T2PKS	1	"15,149"	mithramycin	Polyketide:Type II + Saccharide:Oligosaccharide	8
AC542_RSS864	Region 91.1	butyrolactone	1	"6,841"	lactonamycin	Polyketide	5
AC542_RSS864	Region 92.1	"T1PKS,NRPS"	1	"14,108"	ilamycins	Polyketide	9
AC542_RSS864	Region 94.1	NRPS	1	"11,683"	surugamide A / surugamide D	NRP	14
AC542_RSS864	Region 99.1	T1PKS	1	"7,787"	FD-891	Polyketide	62
AC542_RSS864	Region 102.1	NRPS	1	"5,833"			
AC542_RSS864	Region 108.1	T1PKS	1	"3,826"			
AC495_CC817	Region 13.1	bacteriocin	"20,604"	"30,891"			
AC495_CC817	Region 16.1	bacteriocin	1	"7,414"			
AC495_CC817	Region 17.1	ectoine	"12,528"	"22,932"	ectoine	Other	100
AC495_CC817	Region 42.1	terpene	"15,680"	"36,354"			
AC495_CC817	Region 59.1	T2PKS	1	"12,248"	kinamycin	Polyketide	34
AC495_CC817	Region 75.1	NRPS	1	"3,185"			
AC495_CC817	Region 99.1	"T3PKS,terpene"	"20,233"	"61,408"	diazaquinomycin H / diazaquinomycin J	Other	14
AC495_CC817	Region 100.1	siderophore	"11,879"	"23,651"	desferrioxamin B / desferrioxamine E	Other	83
AC495_CC817	Region 104.1	"NRPS-like,T1PKS"	1	"26,955"			
AC495_CC817	Region 113.1	"NRPS,melanin"	"62,160"	"126,839"	scabichelin	NRP	100
AC495_CC817	Region 113.2	terpene	"151,297"	"172,223"			
AC495_CC817	Region 113.3	"NRPS,T1PKS"	"178,199"	"240,587"	herboxidiene	Polyketide	4
AC495_CC817	Region 113.4	indole	"256,953"	"278,236"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	9
AC495_CC817	Region 118.1	terpene	520	"21,521"			
AC495_CC817	Region 121.1	T1PKS	1	"24,383"	daptomycin	NRP	7
AC495_CC817	Region 122.1	terpene	"56,971"	"68,830"			
AC495_CC817	Region 145.1	ectoine	"56,274"	"66,702"	ectoine	Other	75
AC495_CC817	Region 155.1	terpene	"8,020"	"34,708"	hopene	Terpene	92
AC495_CC817	Region 155.2	"NRPS-like,T1PKS"	"60,071"	"112,419"	marineosin A / marineosin B	Polyketide	90
AC495_CC817	Region 157.1	T2PKS	"9,763"	"82,287"	spore pigment	Polyketide	83
AC495_CC817	Region 160.1	NRPS-like	1	"27,371"			
AC495_CC817	Region 161.1	terpene	"15,017"	"34,500"			
AC495_CC817	Region 170.1	"betalactone,furan"	"242,309"	"286,849"	iturin	NRP + Polyketide	22
AC495_CC817	Region 176.1	siderophore	1	"7,311"			
AC495_CC817	Region 177.1	"T1PKS,lassopeptide"	1	"97,837"	concanamycin A	Polyketide	89
AC495_CC817	Region 181.1	NRPS	1	"23,906"	kirromycin	NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	22
AC495_CC817	Region 183.1	"bacteriocin,lanthipeptide"	"112,881"	"140,420"	informatipeptin	RiPP:Lanthipeptide	100
AC495_CC817	Region 184.1	"transAT-PKS-like,NRPS"	1	"28,168"	kirromycin	NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	11
AC495_CC817	Region 188.1	lanthipeptide	"8,110"	"34,423"			
AC495_CC817	Region 189.1	terpene	"124,423"	"145,331"	carotenoid	Terpene	28
AC495_CC817	Region 202.1	siderophore	"5,191"	"20,049"			
AC495_CC817	Region 202.2	linaridin	"38,619"	"59,239"	pentostatine / vidarabine	Other	9
AC495_CC817	Region 207.1	"transAT-PKS-like,T1PKS"	1	"29,530"	kirromycin	NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	5
AC495_CC817	Region 212.1	siderophore	"33,773"	"45,563"	desferrioxamine E	Other	75
AC495_CC817	Region 216.1	T1PKS	1	"5,577"	mediomycin A	Polyketide	28
AC495_CC817	Region 220.1	"betalactone,T3PKS"	"870,762"	"916,397"	microansamycin	Polyketide	7
AC495_CC817	Region 222.1	melanin	"14,764"	"25,231"	melanin	Other	80
AC495_CC817	Region 223.1	"NRPS-like,siderophore"	"4,377"	"36,799"	paulomycin	Other	13
AC495_CC817	Region 225.1	terpene	1	"10,213"	2-methylisoborneol	Terpene	100
AC495_CC817	Region 226.1	bacteriocin	1	"1,759"			
AC495_CC817	Region 230.1	terpene	"48,579"	"70,786"	geosmin	Terpene	100
AC495_CC817	Region 230.2	NRPS-like	"97,756"	"140,263"	s56-p1	NRP	11
AC495_CC817	Region 232.1	terpene	"19,695"	"46,191"	isorenieratene	Terpene	100
AC495_CC817	Region 262.1	"bacteriocin,bottromycin"	1	"9,831"	bottromycin D	RiPP:Cyanobactin	72
AC495_CC817	Region 263.1	bacteriocin	1	"6,245"			
AC495_CC817	Region 263.2	indole	"37,174"	"58,733"	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	28
AC495_CC817	Region 264.1	bacteriocin	1	"1,753"			
AC495_CC817	Region 275.1	"hglE-KS,T1PKS"	1	"38,761"	kanamycin	Saccharide	1
AC495_CC817	Region 284.1	NRPS-like	"27,072"	"86,045"	echoside A / echoside B / echoside C / echoside D / echoside E	NRP	17
AC230_FW421	Region 2.1	hglE-KS	"1,946"	"53,758"	meoabyssomicin / abyssomicin	Polyketide	6
AC230_FW421	Region 8.1	"T1PKS,NRPS-like"	1	"26,472"	niphimycins C-E	Polyketide	29
AC230_FW421	Region 9.1	T1PKS	1	"63,905"	argimycin PI / argimycin PII / nigrifactin / argimycin PIV / argimycin PV / argimycin PVI / argimycin PIX	Polyketide:Modular type I	27
AC230_FW421	Region 10.1	T1PKS	1	"29,982"	nocardiopsin A / nocardiopsin B / nocardiopsin C / nocardiopsin D	NRP + Polyketide	21
AC230_FW421	Region 27.1	siderophore	1	"10,663"	desferrioxamin B	Other	100
AC230_FW421	Region 31.1	lanthipeptide	"17,628"	"40,399"	SapB	RiPP:Lanthipeptide	100
AC230_FW421	Region 31.2	T3PKS	"49,860"	"81,925"	alkylresorcinol	Polyketide	100
AC230_FW421	Region 34.1	T3PKS	"25,541"	"56,088"	kirromycin	NRP + Polyketide:Modular type I + Polyketide:Trans-AT type I	3
AC230_FW421	Region 44.1	"T1PKS,NRPS-like"	1	"26,047"			
AC230_FW421	Region 60.1	"T3PKS,melanin"	1	"28,850"	istamycin	Saccharide	4
AC230_FW421	Region 63.1	indole	"7,104"	"28,311"	staurosporine	Alkaloid	86
AC230_FW421	Region 69.1	T1PKS	1	"15,056"	caniferolide A / caniferolide B / caniferolide C / caniferolide D	Polyketide:Modular type I	16
AC230_FW421	Region 72.1	T1PKS	1	"11,813"	ECO-02301	Polyketide	32
AC230_FW421	Region 73.1	"other,T1PKS"	1	"29,476"	cyphomycin	Polyketide	18
AC230_FW421	Region 74.1	T1PKS	1	"8,812"	griseochelin	Polyketide	53
AC230_FW421	Region 75.1	T1PKS	1	"4,046"			
AC230_FW421	Region 85.1	hglE-KS	1	"35,071"	diisonitrile antibiotic SF2768	NRP	16
AC230_FW421	Region 87.1	T1PKS	1	"31,118"	frankiamicin	Polyketide	14
AC230_FW421	Region 94.1	butyrolactone	"12,359"	"23,369"			
